[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s0 | unif= 0.922 hi= 1.000 lo= 0.864 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s1 | unif= 0.706 hi= 0.647 lo= 0.737 | PARTIAL (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s2 | unif= 0.894 hi= 1.000 lo= 0.828 | PARTIAL (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s3 | unif= 0.887 hi= 0.996 lo= 0.829 | PARTIAL (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s6 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s7 | unif= 0.980 hi= 0.999 lo= 0.967 | GROK (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s8 | unif= 0.919 hi= 1.000 lo= 0.863 | GROK (102s)
[dyck_boundary] a=4.50 wd=0.30 k=0 inj=uniform  s9 | unif= 0.875 hi= 0.999 lo= 0.814 | PARTIAL (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s0 | unif= 0.735 hi= 0.734 lo= 0.740 | PARTIAL (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s1 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s2 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s3 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s4 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (102s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s5 | unif= 1.000 hi= 1.000 lo= 1.000 | GROK (103s)
[dyck_boundary] a=4.50 wd=0.50 k=0 inj=uniform  s6 | unif= 0.957 hi= 1.000 lo= 0.923 | GROK (103s)
